site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
,,,2020-10-19,,0.27,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.285821 51.745678),,,
,,,2020-10-19,,0.36,,,This planning application supercedes a previous application,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.589744 51.657768),,,
,,,2020-10-19,,0.02,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.280801 51.670426),,,
,,,2020-10-19,,1.03,,,Site has a Resolution to Grant permission subject to the signing of an S106.,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.6056 51.636459),,,
,,,2020-10-19,,1.54,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.332777 51.718279),,,
,,,2020-10-19,,0.51,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.378385 51.593936),,,
,,,2020-10-19,,46.85,,,Cross boundary application between Vale of White Horse and South Oxfordshire.,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.265906 51.619434),,,
,,,2020-10-19,,2.01,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.321069 51.709418),,,
,,,2020-10-19,,0.31,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.301947 51.569364),,,
,,,2020-10-19,,0.08,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.426561 51.587968),,,
,,,2020-10-19,,0.12,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.411615 51.682267),,,
,,,2020-10-19,,0.05,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.417802 51.604658),,,
,,,2020-10-19,,0.04,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.298642 51.752085),,,
,,,2020-10-19,,0.18,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.317597 51.749742),,,
,,,2020-10-19,,0.16,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.410441 51.682459),,,
,,,2020-10-19,,0.12,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.426142 51.589099),,,
,,,2020-10-19,,0.07,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.303162 51.750179),,,
,,,2020-10-19,,0.25,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.291206 51.751474),,,
,,,2020-10-19,,0.13,,,,local-authority-eng:VAL,not owned by a public authority,,,,,POINT(-1.427141 51.612958),,,
