site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land adj 414 Knutsford Road, WA4 1DR",,,2018-12-01,,0.08,8,8,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,,POINT(-2.576376 53.38286),1019.0,,2018-12-01,
"Land at John St/Winwick Street, Warrington, WA4 6NL",yes,,2018-12-01,,0.85,362,362,See most recent planning history at warrington.gov.uk,,,,,pending decision,full planning permission,POINT(-2.592578 53.392968),1029.0,,2017-06-01,
"114, Booths Hill Road, Lymm, Warrington, WA13 0EQ",yes,,2018-12-01,,0.11,6,6,See most recent planning history at warrington.gov.uk,,,,,permissioned,reserved matters approval,POINT(-2.496767 53.379783),1050.0,,2017-06-01,
"Beers Building Co, Station Road, Latchford, WA4 2AD",,,2017-06-01,,1.48,158,158,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,,POINT(-2.565394 53.37786),1090.0,,2017-06-01,
"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",yes,,2017-06-01,,0.56,76,76,See most recent planning history at warrington.gov.uk,,,,,permissioned,reserved matters approval,POINT(-2.578617 53.388237),1108.0,,2017-06-01,
"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",,,2018-12-01,,2.72,110,110,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,other,POINT(-2.562541 53.390363),1178.0,,2017-06-01,
"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",yes,,2018-12-01,,14.06,34,34,See most recent planning history at warrington.gov.uk,,,,,permissioned,reserved matters approval,POINT(-2.54887 53.383618),1201.0,,2017-06-01,
"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",,,2017-06-01,,0.08,11,11,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,other,POINT(-2.590529 53.41398),1245.0,,2017-06-01,
"Brook Place, Knutsford Road, Warrington, WA4 1PH",,,2017-06-01,,0.16,8,8,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,other,POINT(-2.569819 53.382027),1322.0,,2017-06-01,
"Land at Winwick Street/Tanners Lane/Dallam Lane, Warrington, WA2 7NG",,,2018-12-01,,3.0,20,20,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,other,POINT(-2.594948 53.392656),1401.0,,2017-06-01,
"Land at Dawson House, Liverpool Road, Great Sankey, Warrington",yes,,2018-12-01,,5.78,140,140,See most recent planning history at warrington.gov.uk,,,,,permissioned,reserved matters approval,POINT(-2.673777 53.39562),1412.0,,2017-06-01,
"Dawson House, Liverpool Road, Great Sankey, Warrington, WA5 3LW",yes,,2018-12-01,,0.23,7,7,See most recent planning history at warrington.gov.uk,,,,,permissioned,full planning permission,POINT(-2.67257 53.395462),1412.1,,2018-12-01,
"Land at 31-35, Winwick Street, Warrington, WA2 7TT",,,2017-06-01,,0.07,16,16,See most recent planning history at warrington.gov.uk,,,,,Not Permissioned,other,POINT(-2.593133 53.392693),1422.0,,2017-06-01,
"35-37 Bewsey Street, Warrington, WA2 7JA",,,2018-12-01,,0.02,2,2,Not applicable,,,,,Not Permissioned,,POINT(-2.595489 53.391869),1427.0,,2017-06-01,
"Ramswood Nursery, Manchester Rd, WA3 6EA",,,2018-12-02,,1.92,2,2,Not applicable,,,,,Not Permissioned,,POINT(-2.480697 53.403338),1508.0,,2018-12-01,
